3111945,TX00,2017/12/21,08:36:45,10497,10499,10499,74,10497
3111946,TX00,2017/12/21,08:36:50,10497,10499,10499,74,10497
3111947,TX00,2017/12/21,08:36:55,10497,10499,10499,75,10497
3111948,TX00,2017/12/21,08:37:00,10497,10499,10499,75,10497
3111949,TX00,2017/12/21,08:37:05,10497,10499,10499,75,10497
3111950,TX00,2017/12/21,08:37:10,10497,10499,10499,75,10497
3111951,TX00,2017/12/21,08:37:15,10497,10499,10496,82,10497
3111952,TX00,2017/12/21,08:37:20,10496,10499,10496,82,10497
3111953,TX00,2017/12/21,08:37:25,10496,10499,10496,82,10497
3111954,TX00,2017/12/21,08:37:30,10496,10499,10496,82,10497
3111955,TX00,2017/12/21,08:37:35,10496,10499,10495,89,10497
3111956,TX00,2017/12/21,08:37:40,10495,10496,10495,89,10497
3111957,TX00,2017/12/21,08:37:45,10495,10496,10495,89,10497
3111958,TX00,2017/12/21,08:37:50,10495,10496,10495,89,10497
3111959,TX00,2017/12/21,08:37:55,10495,10496,10495,89,10497
3111960,TX00,2017/12/21,08:38:00,10495,10496,10495,89,10497
3111961,TX00,2017/12/21,08:38:05,10495,10496,10495,89,10497
3111962,TX00,2017/12/21,08:38:10,10495,10496,10495,89,10497
3111963,TX00,2017/12/21,08:38:15,10495,10496,10495,89,10497
3111964,TX00,2017/12/21,08:38:20,10495,10496,10495,90,10497
3111965,TX00,2017/12/21,08:38:25,10495,10496,10495,90,10497
3111966,TX00,2017/12/21,08:38:30,10495,10496,10495,91,10497
3111967,TX00,2017/12/21,08:38:35,10495,10499,10495,98,10497
3111968,TX00,2017/12/21,08:38:40,10495,10499,10495,98,10497
3111969,TX00,2017/12/21,08:38:45,10495,10499,10495,98,10497
3111970,TX00,2017/12/21,08:38:50,10495,10499,10495,101,10497
3111971,TX00,2017/12/21,08:38:55,10495,10499,10495,106,10497
3111972,TX00,2017/12/21,08:39:00,10495,10499,10495,106,10497
3111973,TX00,2017/12/21,08:39:05,10495,10499,10495,106,10497
3111974,TX00,2017/12/21,08:39:10,10495,10499,10495,106,10497
3111975,TX00,2017/12/21,08:39:15,10495,10499,10495,105,10497
3111976,TX00,2017/12/21,08:39:20,10495,10499,10495,99,10497
3111977,TX00,2017/12/21,08:39:25,10495,10499,10495,99,10497
3111978,TX00,2017/12/21,08:39:30,10495,10499,10495,104,10497
3111979,TX00,2017/12/21,08:39:35,10495,10499,10495,107,10497
3111980,TX00,2017/12/21,08:39:40,10495,10499,10486,193,10497
3111981,TX00,2017/12/21,08:39:45,10486,10488,10486,197,10495
3111982,TX00,2017/12/21,08:39:50,10486,10488,10486,193,10495
3111983,TX00,2017/12/21,08:39:55,10486,10488,10486,193,10495
3111984,TX00,2017/12/21,08:40:00,10486,10488,10485,193,10495
3111985,TX00,2017/12/21,08:40:05,10485,10488,10485,197,10492
3111986,TX00,2017/12/21,08:40:10,10485,10488,10485,197,10492
3111987,TX00,2017/12/21,08:40:15,10485,10488,10485,198,10492
3111988,TX00,2017/12/21,08:40:20,10485,10488,10485,202,10492
3111989,TX00,2017/12/21,08:40:25,10484,10485,10485,203,10492
3111990,TX00,2017/12/21,08:40:30,10485,10488,10485,203,10492
3111991,TX00,2017/12/21,08:40:35,10485,10488,10485,204,10492
3111992,TX00,2017/12/21,08:40:40,10485,10488,10485,207,10492
3111993,TX00,2017/12/21,08:40:45,10485,10488,10490,209,10492
3111994,TX00,2017/12/21,08:40:50,10489,10490,10489,210,10493
3111995,TX00,2017/12/21,08:40:55,10489,10490,10489,210,10493
3111996,TX00,2017/12/21,08:41:00,10489,10490,10489,210,10493
3111997,TX00,2017/12/21,08:41:05,10489,10490,10489,211,10493
3111998,TX00,2017/12/21,08:41:10,10489,10490,10489,211,10493
